Revenue,Q
3.02,2007-1
2.89,2007-2
3.26,2007-3
5.67,2007-4
4.14,2008-1
4.06,2008-2
4.26,2008-3
6.7,2008-4
4.89,2009-1
4.65,2009-2
5.45,2009-3
9.52,2009-4
7.13,2010-1
6.57,2010-2
7.56,2010-3
12.95,2010-4
9.86,2011-1
9.91,2011-2
10.88,2011-3
17.43,2011-4
13.19,2012-1
12.83,2012-2
13.81,2012-3
21.27,2012-4
16.07,2013-1
15.7,2013-2
17.09,2013-3
25.59,2013-4
19.74,2014-1
19.34,2014-2
20.58,2014-3
29.33,2014-4
22.72,2015-1
23.19,2015-2
25.36,2015-3
35.75,2015-4
29.13,2016-1
30.4,2016-2
32.71,2016-3
43.74,2016-4
35.71,2017-1
37.96,2017-2
43.74,2017-3
60.5,2017-4
51.04,2018-1
52.89,2018-2
56.58,2018-3
72.38,2018-4
59.7,2019-1
63.4,2019-2
69.98,2019-3
87.44,2019-4
75.45,2020-1
